group,examples,v3_tool_accuracy,v3_full_call_exact,v2_tool_accuracy,v2_full_call_exact,delta_tool_accuracy,delta_full_call_exact
overall,959,0.5964546402502607,0.310740354535975,0.6173096976016684,0.3305526590198123,-0.02085505735140769,-0.019812304483837306
non_recovery,906,0.5949227373068433,0.2969094922737307,0.6169977924944813,0.31567328918322296,-0.02207505518763797,-0.01876379690949226
recovery,53,0.6226415094339622,0.5471698113207547,0.6226415094339622,0.5849056603773585,0.0,-0.037735849056603765
agent_initiated,13,0.0,0.0,0.0,0.0,0.0,0.0
user_assisted,40,0.825,0.725,0.825,0.775,0.0,-0.050000000000000044
