arm,paper_arm,dose,clean_tasks,clean_success,controlled_error_in_family_tasks,controlled_error_in_family_success,controlled_error_heldout_tool_family_tasks,controlled_error_heldout_tool_family_success,clean_delta_vs_r0,clean_delta_ci95,error_delta_vs_r0,error_delta_ci95,clean_noninferior_point_estimate,paired_randomization_p,holm_adjusted_p
perfect_success,r0_perfect,0.0,21,0.0,16,0.0,5,0.0,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",True,,
repair_50,r50,0.5,21,0.0,16,0.0,5,0.0,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",True,1.0,1.0
repair_100,r100_recovery,1.0,21,0.0,16,0.0,5,0.0,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",True,1.0,1.0
