arm,status,json_valid,tool_accuracy,full_call_exact,task_macro_full_call_exact,full_call_ci_low,full_call_ci_high,recovery_examples,recovery_full_call_exact,agent_examples,agent_full_call_exact,errors
base_model,complete,0.17518248175182483,0.061522419186652764,0.006256517205422315,0.01255952762295257,0.0009987539661130166,0.013961757442721897,53,0.07547169811320754,13,0.07692307692307693,OK
random_success,complete,0.9979144942648592,0.6173096976016684,0.3305526590198123,0.35424482025257764,0.28774276654776065,0.38525952439582084,53,0.5849056603773585,13,0.0,OK
shortest_success,complete,0.9927007299270073,0.5995828988529719,0.28154327424400416,0.31872952225525153,0.23407435574380608,0.33831741293532336,53,0.5849056603773585,13,0.15384615384615385,OK
recovery_coverage,complete,0.9979144942648592,0.5714285714285714,0.2523461939520334,0.2869778289790303,0.21474768975013286,0.2984165946639436,53,0.5660377358490566,13,0.15384615384615385,OK
