comparison,treatment_arm,control_arm,group,metric,eligible_examples,treatment,control,delta_treatment_minus_control,treatment_only_true,control_only_true,paired_ties,ci_low,ci_high,cluster_sign_flip_p
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,tool_name_correct,38,0.8421052631578947,0.8421052631578947,0.0,0,0,38,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,arguments_exact,38,0.7894736842105263,0.7631578947368421,0.02631578947368418,1,0,37,0.0,0.10344827586206896,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,full_call_exact,38,0.7631578947368421,0.7368421052631579,0.026315789473684292,1,0,37,0.0,0.10344827586206896,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,exact_failed_call_replay_rate_on_strict_pairs,36,0.08333333333333333,0.08333333333333333,0.0,0,0,36,0.0,0.0,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,json_valid,959,0.9885297184567258,0.9947862356621481,-0.006256517205422307,3,9,947,-0.017781842397871398,0.003393665158371041,0.5007499250074993
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,tool_name_correct,959,0.470281543274244,0.5964546402502607,-0.12617309697601675,22,143,794,-0.1694741302408564,-0.08635971786833861,9.999000099990002e-05
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,arguments_exact,959,0.28258602711157454,0.3222106360792492,-0.03962460896767467,16,54,889,-0.05764479206721919,-0.023401507628854425,0.00039996000399960006
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,full_call_exact,959,0.27424400417101147,0.31282586027111575,-0.038581856100104284,13,50,896,-0.05512739394259242,-0.022803212664752052,0.00019998000199980003
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,exact_failed_call_replay_rate_on_strict_pairs,48,0.10416666666666667,0.125,-0.02083333333333333,3,4,41,-0.1590909090909091,0.13043478260869565,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,json_valid,902,0.9900221729490022,0.9955654101995566,-0.005543237250554389,3,8,891,-0.018140650070060042,0.0042436957068595895,0.6535346465353464
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,tool_name_correct,902,0.45787139689578715,0.5875831485587583,-0.1297117516629711,21,138,743,-0.175156842820465,-0.09060330805944157,9.999000099990002e-05
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,arguments_exact,902,0.2583148558758315,0.30155210643015523,-0.04323725055432376,15,54,833,-0.0618999671067279,-0.02698813836177308,0.00039996000399960006
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,full_call_exact,902,0.25055432372505543,0.2926829268292683,-0.04212860310421285,12,50,840,-0.0594760044440824,-0.0259009009009009,0.0006999300069993001
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,exact_failed_call_replay_rate_on_strict_pairs,48,0.10416666666666667,0.125,-0.02083333333333333,3,4,41,-0.1590909090909091,0.125,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,failed_gold,json_valid,57,0.9649122807017544,0.9824561403508771,-0.01754385964912275,0,1,56,-0.04918032786885246,0.0,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,failed_gold,tool_name_correct,57,0.6666666666666666,0.7368421052631579,-0.07017543859649122,1,5,51,-0.2037037037037037,0.025,0.5034496550344966
continued_sft_minus_clean_sft,continued_sft,clean_sft,failed_gold,arguments_exact,57,0.6666666666666666,0.6491228070175439,0.01754385964912275,1,0,56,0.0,0.04477611940298507,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,failed_gold,failed_action_imitation_rate,57,0.6491228070175439,0.631578947368421,0.01754385964912286,1,0,56,0.0,0.04411764705882353,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,non_recovery_success,json_valid,852,0.9894366197183099,0.9953051643192489,-0.005868544600938996,3,8,841,-0.019430261641244867,0.0045662100456621,0.6519348065193481
continued_sft_minus_clean_sft,continued_sft,clean_sft,non_recovery_success,tool_name_correct,852,0.44366197183098594,0.5845070422535211,-0.1408450704225352,16,136,700,-0.18431930944854874,-0.10544208249337472,9.999000099990002e-05
continued_sft_minus_clean_sft,continued_sft,clean_sft,non_recovery_success,arguments_exact,852,0.23708920187793428,0.284037558685446,-0.04694835680751172,12,52,788,-0.06495510949528052,-0.031007751937984496,0.00019998000199980003
continued_sft_minus_clean_sft,continued_sft,clean_sft,non_recovery_success,full_call_exact,852,0.2312206572769953,0.27582159624413144,-0.04460093896713613,10,48,794,-0.060955625783925965,-0.02861035422343324,0.00029997000299970003
continued_sft_minus_clean_sft,continued_sft,clean_sft,recovery_success,json_valid,50,1.0,1.0,0.0,0,0,50,0.0,0.0,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,recovery_success,tool_name_correct,50,0.7,0.64,0.05999999999999994,5,2,43,-0.05128205128205128,0.16666666666666666,0.7508249175082492
continued_sft_minus_clean_sft,continued_sft,clean_sft,recovery_success,arguments_exact,50,0.62,0.6,0.020000000000000018,3,2,45,-0.08108108108108109,0.10204081632653061,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,recovery_success,full_call_exact,50,0.58,0.58,0.0,2,2,46,-0.1,0.075,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,recovery_success,exact_failed_call_replay_rate_on_strict_pairs,48,0.10416666666666667,0.125,-0.02083333333333333,3,4,41,-0.1568627450980392,0.12964975845410598,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,agent_initiated,json_valid,12,1.0,1.0,0.0,0,0,12,0.0,0.0,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,agent_initiated,tool_name_correct,12,0.4166666666666667,0.0,0.4166666666666667,5,0,7,0.07142857142857142,0.8181818181818182,0.25707429257074293
continued_sft_minus_clean_sft,continued_sft,clean_sft,agent_initiated,arguments_exact,12,0.25,0.0,0.25,3,0,9,0.06666666666666667,0.5,0.24927507249275072
continued_sft_minus_clean_sft,continued_sft,clean_sft,agent_initiated,full_call_exact,12,0.16666666666666666,0.0,0.16666666666666666,2,0,10,0.0,0.4444444444444444,0.49035096490350966
continued_sft_minus_clean_sft,continued_sft,clean_sft,agent_initiated,exact_failed_call_replay_rate_on_strict_pairs,12,0.25,0.25,0.0,3,3,6,-0.5,0.5384615384615384,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,user_assisted,json_valid,38,1.0,1.0,0.0,0,0,38,0.0,0.0,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,user_assisted,tool_name_correct,38,0.7894736842105263,0.8421052631578947,-0.05263157894736836,0,2,36,-0.13333333333333333,0.0,0.49475052494750527
continued_sft_minus_clean_sft,continued_sft,clean_sft,user_assisted,arguments_exact,38,0.7368421052631579,0.7894736842105263,-0.052631578947368474,0,2,36,-0.16129032258064516,0.0,0.5007499250074993
continued_sft_minus_clean_sft,continued_sft,clean_sft,user_assisted,full_call_exact,38,0.7105263157894737,0.7631578947368421,-0.052631578947368474,0,2,36,-0.16666666666666666,0.0,0.49675032496750327
continued_sft_minus_clean_sft,continued_sft,clean_sft,user_assisted,exact_failed_call_replay_rate_on_strict_pairs,36,0.05555555555555555,0.08333333333333333,-0.027777777777777776,0,1,35,-0.08108108108108109,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,overall,json_valid,959,0.9812304483837331,0.9885297184567258,-0.007299270072992692,10,17,932,-0.021438120030957575,0.005257935270965029,0.35776422357764226
dpo_minus_continued_sft,dpo,continued_sft,overall,tool_name_correct,959,0.5286757038581856,0.470281543274244,0.058394160583941646,126,70,763,0.02168730902899261,0.09401804199940844,0.0103989601039896
dpo_minus_continued_sft,dpo,continued_sft,overall,arguments_exact,959,0.251303441084463,0.28258602711157454,-0.031282586027111536,47,77,835,-0.06137112699398245,-0.0023656297352705412,0.06479352064793521
dpo_minus_continued_sft,dpo,continued_sft,overall,full_call_exact,959,0.24817518248175183,0.27424400417101147,-0.02606882168925964,45,70,844,-0.05572466176044202,0.0022149008110437483,0.12498750124987501
