arm,paper_arm,dose,clean_tasks,clean_success,controlled_error_in_family_tasks,controlled_error_in_family_success,controlled_error_heldout_tool_family_tasks,controlled_error_heldout_tool_family_success,clean_delta_vs_r0,clean_delta_ci95,error_delta_vs_r0,error_delta_ci95,clean_noninferior_point_estimate,paired_randomization_p,holm_adjusted_p
perfect_success,r0_perfect,0.0,21,0.15873015873015872,16,0.22916666666666666,5,0.2,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",True,,
repair_50,r50,0.5,21,0.22222222222222224,16,0.1875,5,0.2,0.0634920634920635,"[-0.015873015873015872,0.17460317460317462]",-0.041666666666666664,"[-0.2916666666666667,0.20833333333333334]",True,1.0,1.0
repair_100,r100_recovery,1.0,21,0.19047619047619047,16,0.1875,5,0.2,0.03174603174603175,"[-0.0634920634920635,0.15873015873015875]",-0.041666666666666664,"[-0.2916666666666667,0.20833333333333334]",True,1.0,1.0
